ProcedureName,ReviewStatus,ReviewedUtc,ReviewContractVersion
USP_AgentJobs,DEEP_REVIEWED,2026-07-22,3
USP_AgentMonitoringAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_AgentStatus,DEEP_REVIEWED,2026-07-22,3
USP_AnalysisNavigator,DEEP_REVIEWED,2026-07-22,3
USP_AvailabilityDeepAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_AvailabilityGroups,DEEP_REVIEWED,2026-07-22,3
USP_BackupChainAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_BackupRecovery,DEEP_REVIEWED,2026-07-22,3
USP_BufferPoolAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_CheckAnalyseAccess,DEEP_REVIEWED,2026-07-22,3
USP_CheckFrameworkCapabilities,DEEP_REVIEWED,2026-07-22,3
USP_Columnstore,DEEP_REVIEWED,2026-07-22,3
USP_CriticalEngineEvents,DEEP_REVIEWED,2026-07-22,3
USP_CurrentBlocking,DEEP_REVIEWED,2026-07-23,3
USP_CurrentIO,DEEP_REVIEWED,2026-07-23,3
USP_CurrentLog,DEEP_REVIEWED,2026-07-22,3
USP_CurrentMemoryGrants,DEEP_REVIEWED,2026-07-23,3
USP_CurrentOverview,DEEP_REVIEWED,2026-07-23,3
USP_CurrentRequests,DEEP_REVIEWED,2026-07-23,3
USP_CurrentSessions,DEEP_REVIEWED,2026-07-23,3
USP_CurrentTempDB,DEEP_REVIEWED,2026-07-23,3
USP_CurrentTransactions,DEEP_REVIEWED,2026-07-23,3
USP_CurrentWaits,DEEP_REVIEWED,2026-07-23,3
USP_DataCaptureDeepAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_DataCaptureStatus,DEEP_REVIEWED,2026-07-22,3
USP_DatabaseCapacityAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_DatabaseIntegrityAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_DiagnosticFindings,DEEP_REVIEWED,2026-07-22,3
USP_EncryptionAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ExternalRuntimeAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ClrAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsBlockedProcesses,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsDeadlocks,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsReadEvents,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsSessions,DEEP_REVIEWED,2026-07-22,3
USP_ExtendedEventsTargetRuntime,DEEP_REVIEWED,2026-07-22,3
USP_FullTextAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_InMemoryOltpAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_IndexOperationalStats,DEEP_REVIEWED,2026-07-22,3
USP_IndexPhysicalStats,DEEP_REVIEWED,2026-07-22,3
USP_IndexUsage,DEEP_REVIEWED,2026-07-22,3
USP_InfrastructureAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_IntelligentQueryProcessingAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_InternalContentionAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_LogShippingStatus,DEEP_REVIEWED,2026-07-22,3
USP_MaintenanceOperations,DEEP_REVIEWED,2026-07-22,3
USP_MissingIndexes,DEEP_REVIEWED,2026-07-22,3
USP_OSInformation,DEEP_REVIEWED,2026-07-22,3
USP_ObjectAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ObjectInventory,DEEP_REVIEWED,2026-07-22,3
USP_Partitions,DEEP_REVIEWED,2026-07-22,3
USP_PerformanceCounters,DEEP_REVIEWED,2026-07-22,3
USP_PlanCacheAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_PlanCacheHealth,DEEP_REVIEWED,2026-07-22,3
USP_PlanDetails,DEEP_REVIEWED,2026-07-22,3
USP_PrepareDatabaseCandidates,DEEP_REVIEWED,2026-07-22,3
USP_PrepareNameFilters,DEEP_REVIEWED,2026-07-22,3
USP_QueryHashAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_QueryStats,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreForcedPlans,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreHints,DEEP_REVIEWED,2026-07-22,3
USP_QueryStorePlanChanges,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreRegressions,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreRuntimeStats,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreStatus,DEEP_REVIEWED,2026-07-22,3
USP_QueryStoreWaitStats,DEEP_REVIEWED,2026-07-22,3
USP_ReplicationStatus,DEEP_REVIEWED,2026-07-22,3
USP_ResourceGovernorAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_SchemaDesignAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ServerConfiguration,DEEP_REVIEWED,2026-07-22,3
USP_ServerCpuTopology,DEEP_REVIEWED,2026-07-22,3
USP_ServerFeatureCapabilities,DEEP_REVIEWED,2026-07-22,3
USP_ServerVersionInformation,DEEP_REVIEWED,2026-07-22,3
USP_ServerHealthAnalysis,DEEP_REVIEWED,2026-07-22,3
USP_ServerMemory,DEEP_REVIEWED,2026-07-22,3
USP_ServerNuma,DEEP_REVIEWED,2026-07-22,3
